Record_ID,Noise_Type,SNR_Level,Filter_Technique,Original_SNR,Improved_SNR,SNR_Gain,Original_MSE,Improved_MSE
100,G_BW_PL_MA_EM,24,Moving Average,26.12379643132764,18.724102155791535,-7.399694275536106,6.0911754015426865e-05,0.0003347114222377778
100,BW_MA,-6,Butterworth,-3.522664364433136,17.13610556669287,20.658769931126006,0.05614966702815545,0.000482469864487039
100,BW_MA,-6,Savitzky-Golay,-3.522664364433136,-3.460416986959631,0.06224737747350506,0.05614966702815545,0.05535061458909063
100,BW_MA,-6,Wavelet,-3.522664364433136,-3.4729906499342977,0.04967371449883817,0.05614966702815545,0.05551109749746229
100,BW_MA,-6,Moving Average,-3.522664364433136,-3.425180754642917,0.09748360979021875,0.05614966702815545,0.05490334746145786
100,BW_MA,0,Butterworth,2.4799044774368975,21.615013317738736,19.13510884030184,0.014095818563591274,0.00017202018761167207
100,BW_MA,0,Savitzky-Golay,2.4799044774368975,2.3458665908204672,-0.13403788661643024,0.014095818563591274,0.014537646011694504
100,BW_MA,0,Wavelet,2.4799044774368975,2.403311832640708,-0.07659264479618955,0.014095818563591274,0.014346619016555304
100,BW_MA,0,Moving Average,2.4799044774368975,2.509969841782913,0.03006536434601559,0.014095818563591274,0.013998572941268675
100,BW_MA,6,Butterworth,8.485150625320513,24.412339494658113,15.9271888693376,0.003536435049759081,9.033307606691423e-05
100,BW_MA,6,Savitzky-Golay,8.485150625320513,7.636768304267312,-0.8483823210532009,0.003536435049759081,0.004299361056740836
100,BW_MA,6,Wavelet,8.485150625320513,7.916123459001447,-0.5690271663190654,0.003536435049759081,0.004031516140408422
100,BW_MA,6,Moving Average,8.485150625320513,8.246388414761148,-0.23876221055936497,0.003536435049759081,0.0037363014399450258
100,BW_MA,12,Butterworth,14.48775430482986,25.515278588252833,11.027524283422974,0.0008877799209118925,7.00733515505472e-05
100,BW_MA,12,Savitzky-Golay,14.48775430482986,11.58471208439483,-2.9030422204350295,0.0008877799209118925,0.0017322458929574186
100,BW_MA,12,Wavelet,14.48775430482986,12.358987896782276,-2.128766408047584,0.0008877799209118925,0.001449378981755268
100,BW_MA,12,Moving Average,14.48775430482986,13.314706969764492,-1.1730473350653678,0.0008877799209118925,0.0011630812426391074
100,BW_MA,18,Butterworth,20.471467492059716,25.834161217795035,5.362693725735319,0.00022383809423003398,6.511253846258256e-05
100,BW_MA,18,Savitzky-Golay,20.471467492059716,13.60247293918555,-6.868994552874167,0.00022383809423003398,0.001088512585694864
100,BW_MA,18,Wavelet,20.471467492059716,14.924619364386466,-5.54684812767325,0.00022383809423003398,0.0008028211630213401
100,BW_MA,18,Moving Average,20.471467492059716,16.828692564819633,-3.642774927240083,0.00022383809423003398,0.000517858956978076
100,BW_MA,24,Butterworth,26.487780088080317,25.923671244117074,-0.5641088439632433,5.601479358780848e-05,6.378427512345922e-05
100,BW_MA,24,Savitzky-Golay,26.487780088080317,14.305455152801017,-12.1823249352793,5.601479358780848e-05,0.0009258384935831489
100,BW_MA,24,Wavelet,26.487780088080317,15.910794060928692,-10.576986027151625,5.601479358780848e-05,0.0006397368132964537
100,BW_MA,24,Moving Average,26.487780088080317,18.471084887249955,-8.016695200830362,5.601479358780848e-05,0.0003547907267399919
100,BW,-6,Butterworth,-6.012353752609323,25.70947790444421,31.721831657053535,0.09961302391743106,6.70089724539155e-05
100,BW,-6,Savitzky-Golay,-6.012353752609323,-6.050192491370079,-0.0378387387607555,0.09961302391743106,0.10048471333857456
100,BW,-6,Wavelet,-6.012353752609323,-6.037799687979705,-0.025445935370381534,0.09961302391743106,0.10019838406363153
100,BW,-6,Moving Average,-6.012353752609323,-6.025348387886815,-0.012994635277491895,0.09961302391743106,0.09991152492478612
100,BW,0,Butterworth,-0.0013077894554616924,25.89214258030861,25.893450369764075,0.024958100415554216,6.424901749046744e-05
100,BW,0,Savitzky-Golay,-0.0013077894554616924,-0.15035806551071093,-0.14905027605524923,0.024958100415554216,0.02582953306824541
100,BW,0,Wavelet,-0.0013077894554616924,-0.10199080750068319,-0.1006830180452215,0.024958100415554216,0.025543466179236897
100,BW,0,Moving Average,-0.0013077894554616924,-0.053164057145552474,-0.05185626769009078,0.024958100415554216,0.025257895056544515
100,BW,6,Butterworth,5.99909767562626,25.93630580753443,19.93720813190817,0.006268606103430755,6.359898256512222e-05
100,BW,6,Savitzky-Golay,5.99909767562626,5.433741225132373,-0.565356450493887,0.006268606103430755,0.007140138339121826
100,BW,6,Wavelet,5.99909767562626,5.611385376462646,-0.3877122991636135,0.006268606103430755,0.006853970188368621
